paper_id,title,year,domain,authors_count,pages,sections,subsections,figures,tables,equations,references_count,keywords_count,methods_count,datasets_count,citations,readability_score,avg_sentence_length,passive_voice_pct,has_code,has_appendix,has_acknowledgements,citations_per_year,references_per_page,complexity_index,impact_category,readability_category
P101,Debugging Agents: A Survey,2019,Software Engineering,4,14,8,18,3,2,5,48,6,3,1,92,47.5,18.9,13.1,1,0,1,15.333333333333334,3.4285714285714284,1.8571428571428572,Medium Impact,Medium Readability
P102,Transformer-based Program Repair,2020,Machine Learning,5,16,9,20,6,3,8,60,7,2,2,130,43.6,20.2,15.4,1,1,1,26.0,3.75,1.8125,Medium Impact,Medium Readability
P103,Probabilistic Fault Localization,2018,Programming Languages,3,11,7,15,2,2,9,34,5,2,0,58,49.8,17.1,10.3,0,0,0,8.285714285714286,3.090909090909091,2.0,Medium Impact,Medium Readability
P104,Benchmarking Multi-Agent Debuggers,2021,AI Systems,6,18,10,22,7,4,10,72,8,4,3,81,44.1,19.6,14.2,1,1,1,20.25,4.0,1.7777777777777777,Medium Impact,Medium Readability
P105,Learning to Localize Bugs v2,2017,Software Engineering,5,13,8,17,4,3,7,38,5,2,1,205,46.9,18.5,11.6,0,0,1,25.625,2.923076923076923,1.9230769230769231,High Impact,Medium Readability
P106,Graph Neural Code Understanding,2022,Machine Learning,4,19,11,25,9,5,12,76,8,3,2,57,39.8,21.7,16.9,1,1,1,19.0,4.0,1.894736842105263,Medium Impact,Low Readability
P107,Large-Scale Theorem Proving,2016,Formal Methods,3,21,9,20,7,6,28,98,5,2,0,332,35.6,24.4,18.4,0,1,0,36.888888888888886,4.666666666666667,1.380952380952381,High Impact,Low Readability
P108,Human-in-the-Loop Debugging UX,2021,HCI,5,12,7,12,3,4,3,42,6,4,1,35,52.7,16.0,9.3,0,0,1,8.75,3.5,1.5833333333333333,Low Impact,High Readability
P109,Runtime Safety Monitors,2019,Systems,4,15,8,16,4,5,6,55,5,1,0,79,45.8,19.1,12.3,0,1,0,13.166666666666666,3.6666666666666665,1.6,Medium Impact,Medium Readability
P110,Explainable Bug Reports,2023,NLP,3,11,6,13,2,2,2,28,7,3,1,13,55.9,15.7,8.0,1,0,1,6.5,2.5454545454545454,1.7272727272727273,Low Impact,High Readability
P111,Differential Compiler Testing,2015,Systems,6,22,10,18,10,6,4,112,4,1,0,505,33.1,25.1,19.8,0,1,0,50.5,5.090909090909091,1.2727272727272727,High Impact,Low Readability
P112,Zero-Shot Code Summaries,2022,NLP,4,13,7,14,3,2,6,45,6,2,1,66,49.3,17.5,10.6,1,0,1,22.0,3.4615384615384617,1.6153846153846154,Medium Impact,Medium Readability
P113,RL for Autonomous Debugging,2020,Machine Learning,5,17,10,22,7,4,8,72,7,4,2,97,41.0,20.7,15.7,1,1,1,19.4,4.235294117647059,1.8823529411764706,Medium Impact,Medium Readability
P114,Constraint-Guided Synthesis,2018,Programming Languages,3,16,9,20,6,5,18,64,5,1,0,142,37.6,22.0,16.9,0,1,0,20.285714285714285,4.0,1.8125,Medium Impact,Low Readability
P115,Software Bugs Dataset v2,2017,Data,2,9,5,10,1,2,1,21,8,1,3,82,56.7,14.6,7.4,0,0,1,10.25,2.3333333333333335,1.6666666666666667,Medium Impact,High Readability
P116,Static Detector Evaluation,2019,Software Engineering,4,19,11,23,8,4,9,90,5,2,0,133,43.4,19.6,13.3,0,1,1,22.166666666666668,4.7368421052631575,1.7894736842105263,Medium Impact,Medium Readability
P117,Dual-Encoder Code Search,2021,IR,6,14,8,18,5,3,6,60,6,2,2,74,44.9,18.8,12.5,1,0,1,18.5,4.285714285714286,1.8571428571428572,Medium Impact,Medium Readability
P118,Semantic Patching Methods,2016,Software Engineering,3,12,7,15,2,3,11,39,4,1,0,202,48.4,17.8,10.9,0,0,0,22.444444444444443,3.25,1.8333333333333333,High Impact,Medium Readability
P119,API Auto-Completion,2020,HCI,4,11,6,12,3,1,1,34,7,2,1,41,54.2,15.2,8.6,1,0,1,8.2,3.090909090909091,1.6363636363636365,Low Impact,High Readability
P120,Mining Code Clones,2015,Software Engineering,5,21,9,19,9,5,14,122,4,1,0,525,36.3,23.1,18.7,0,1,0,52.5,5.809523809523809,1.3333333333333333,High Impact,Low Readability
P121,Security Vulnerability Mining,2019,Security,4,18,10,21,7,5,9,82,5,2,1,162,40.3,21.1,16.0,0,1,0,27.0,4.555555555555555,1.7222222222222223,Medium Impact,Medium Readability
P122,BERT for Bug Triage,2021,NLP,5,12,7,13,2,2,3,48,6,3,1,60,51.9,16.0,9.7,1,0,1,15.0,4.0,1.6666666666666667,Medium Impact,High Readability
P123,Type Inference for Dynamic Langs,2017,Programming Languages,3,15,8,17,4,4,16,65,5,1,0,212,42.7,19.7,13.5,0,1,0,26.5,4.333333333333333,1.6666666666666667,High Impact,Medium Readability
P124,Debugging Session Visualization,2022,Visualization,4,10,6,11,3,2,2,32,7,2,0,19,58.1,14.1,7.8,0,0,1,6.333333333333333,3.2,1.7,Low Impact,High Readability
P125,Repair via Constraint Solvers,2018,Formal Methods,2,16,9,18,5,5,22,70,4,1,0,147,38.5,22.3,17.4,0,1,0,21.0,4.375,1.6875,Medium Impact,Low Readability
P126,Runtime Profiling at Scale,2016,Systems,4,17,8,16,6,4,7,80,5,1,0,303,41.7,20.6,15.3,0,1,0,33.666666666666664,4.705882352941177,1.411764705882353,High Impact,Medium Readability
P127,Knowledge Graphs for Code,2023,Machine Learning,6,13,7,15,4,3,5,56,8,3,2,21,50.6,17.0,10.3,1,0,1,10.5,4.3076923076923075,1.6923076923076923,Low Impact,High Readability
P128,Active Learning for Bugs,2020,IR,3,12,7,13,2,2,3,47,6,3,1,68,51.3,16.3,9.8,1,0,1,13.6,3.9166666666666665,1.6666666666666667,Medium Impact,High Readability
P129,Symbolic Execution 2020,2015,Formal Methods,5,22,11,20,9,7,28,127,4,1,0,612,34.0,24.6,19.0,0,1,0,61.2,5.7727272727272725,1.4090909090909092,High Impact,Low Readability
P130,Text-to-Code Generation,2021,NLP,5,18,10,22,6,4,9,75,7,3,2,92,43.6,19.4,13.8,1,1,1,23.0,4.166666666666667,1.7777777777777777,Medium Impact,Medium Readability
P131,Energy-Aware Compilation,2018,Systems,3,14,8,16,5,3,6,61,5,1,0,157,45.5,18.7,12.0,0,1,0,22.428571428571427,4.357142857142857,1.7142857142857142,Medium Impact,Medium Readability
P132,Automated Log Analysis,2019,IR,4,13,7,14,3,2,4,51,6,2,1,104,49.0,17.2,10.7,0,0,1,17.333333333333332,3.923076923076923,1.6153846153846154,Medium Impact,Medium Readability
P133,Adversarial Code Robustness,2022,Security,6,16,9,19,6,4,11,84,7,3,1,45,40.8,20.2,15.5,1,1,1,15.0,5.25,1.75,Low Impact,Medium Readability
P134,Test Case Prioritization,2017,Software Engineering,4,12,7,12,3,2,3,42,5,1,0,178,50.1,16.9,10.1,0,0,1,22.25,3.5,1.5833333333333333,Medium Impact,High Readability
P135,Probabilistic Bug Localization,2020,Machine Learning,5,17,10,21,7,4,8,73,6,2,2,90,41.9,19.9,14.7,1,1,1,18.0,4.294117647058823,1.8235294117647058,Medium Impact,Medium Readability
P136,Doc Quality Metrics,2023,HCI,3,9,5,9,2,1,1,27,8,2,0,11,60.0,13.5,6.9,0,0,1,5.5,3.0,1.5555555555555556,Low Impact,High Readability
P137,Scalable Fuzzing,2016,Security,4,19,9,18,8,5,13,100,4,1,0,333,36.7,22.8,18.4,0,1,0,37.0,5.2631578947368425,1.4210526315789473,High Impact,Low Readability
P138,Hybrid Dyn-Static Analysis,2018,Software Engineering,5,15,8,16,5,4,10,68,5,2,0,144,44.4,18.5,12.0,0,1,0,20.571428571428573,4.533333333333333,1.6,Medium Impact,Medium Readability
P139,Multimodal Code Retrieval,2021,IR,6,14,8,17,4,3,6,58,7,3,2,76,46.2,18.1,11.4,1,0,1,19.0,4.142857142857143,1.7857142857142858,Medium Impact,Medium Readability
P140,LLMs for Debugging,2023,AI Systems,7,20,12,25,10,6,12,92,8,4,3,37,38.6,21.6,16.8,1,1,1,18.5,4.6,1.85,Low Impact,Low Readability
